Text,IsSpam
Win a free trip to Hawaii,1
Meeting agenda,0
Your invoice is attached,0
Limited time offer!,1
Urgent: Update your account details,1
Project update,0
"Buy one, get one free",1
"Congratulations, you've won!",1
Important security notice,1
Payment reminder,0
Invitation to webinar,0
Exclusive deal just for you,1
Don't miss out on this opportunity,1
Invoice overdue,0
Please verify your account,1
Final reminder,0
Sale ends soon!,1
Project deadline extended,0
Action required: Your account will be suspended,1
Thank you for your purchase,0
Last chance to claim your prize!,1
Your account has been updated,0
Get a discount on your next purchase,1
Your subscription will expire soon,0
Password reset request,1
Account confirmation needed,1
Claim your voucher now,0
Meeting rescheduled,1
Security alert: Unusual login detected,1
Check out our new products,0
Your order has been shipped,1
Free trial of our premium service,1
Join our exclusive loyalty program,0
Your refund has been processed,1
Action needed: Verify your payment method,0
You're invited!,0
Your order is on the way,1
Get 20% off your next purchase,1
Update: Your recent support ticket,0
Limited edition products available,1
Your payment has been received,1
Claim your free gift now!,0
Password change confirmation,1
Reminder: Subscription renewal,0
Update: System maintenance scheduled,1
Don't miss our holiday sale!,1
Important: Account verification needed,0
Your feedback is important to us,0
Notification: You've been mentioned,1
Thank you for your continued support!,0
